No,Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
783,gaussian,192,55,Fan1,750000000.0,1.52,5117,1125806924.88,1.52,4544,0.31,24.59,0.03,32.89,0.2,0.0,0.22,5.47,5.47,11669014084.51,0.25,1.52,52.25,0.02,1.52,2.26,0.07,94.33,1,0.06,5.67,26.5,29.03,43.4,39.77,39.77,1.23,394,1.34,430,512,1,17,0,0,0,512,0.0,32,5,32,4,9.11,14.24,64,100
784,gaussian,192,56,Fan2,787202380.95,8.38,9505,1176421957.67,8.38,8064,6.1,4883.01,2.14,7.74,0.16,0.08,0.17,4.17,4.17,67579365079.37,6.1,8.38,92.66,1.77,48.29,1.27,0.05,95.32,1,0.05,4.68,14.28,15.76,27.62,27.07,27.07,199.36,63794,203.41,65092,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.37,6.83,32,50
785,gaussian,192,57,Fan1,727272727.27,1.56,4976,1086939102.56,1.56,4576,0.32,24.91,0.03,32.31,0.2,0.0,0.22,5.39,5.39,11601398601.4,0.26,1.56,52.26,0.02,1.52,2.52,0.07,94.3,1,0.06,5.7,26.41,28.93,48.17,44.14,44.14,1.23,394,1.34,430,512,1,17,0,0,0,512,0.0,32,5,32,4,9.08,14.19,64,100
786,gaussian,192,58,Fan2,799196787.15,8.25,9506,1192206325.3,8.25,7968,6.23,4900.26,2.16,7.65,0.16,0.08,0.17,4.18,4.18,67477911646.59,6.23,8.25,92.35,1.77,48.82,1.38,0.05,94.88,1,0.05,5.12,14.19,15.66,27.62,26.88,26.88,199.36,63794,204.81,65538,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.6,7.19,32,50
787,gaussian,192,59,Fan1,735344827.59,1.51,5118,1102765804.6,1.51,4640,0.31,24.81,0.02,32.29,0.18,0.0,0.2,4.92,4.92,11344827586.21,0.25,1.51,52.27,0.02,1.23,2.47,0.07,94.3,1,0.06,5.7,29.21,32.0,47.8,43.4,43.4,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.59,13.42,64,100
788,gaussian,192,60,Fan2,802845528.46,8.49,9436,1197937838.75,8.49,7872,6.44,4792.89,2.12,7.74,0.16,0.08,0.17,4.18,4.18,69829268292.68,6.44,8.49,91.28,1.76,49.41,1.45,0.05,94.96,1,0.05,5.04,14.31,15.8,29.41,28.81,28.81,196.25,62800,200.32,64101,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.37,6.83,32,50
789,gaussian,192,61,Fan1,750874125.87,1.49,5148,1124599358.97,1.49,4576,0.3,24.41,0.02,32.67,0.18,0.0,0.2,5.01,5.01,11433566433.57,0.25,1.49,52.29,0.02,1.24,2.36,0.06,94.45,1,0.06,5.55,29.1,31.89,46.84,42.53,42.53,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.44,13.19,64,100
790,gaussian,192,62,Fan2,790000000.0,7.52,9432,1177895833.33,7.52,8000,5.66,4758.76,2.1,7.3,0.16,0.08,0.17,4.16,4.16,60832000000.0,5.66,7.52,89.96,1.74,44.74,1.33,0.05,95.02,1,0.05,4.98,14.37,15.87,27.31,26.75,26.75,194.12,62120,198.17,63414,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.67,7.3,32,50
791,gaussian,192,63,Fan1,718120805.37,1.46,5104,1070050335.57,1.46,4768,0.31,24.46,0.02,32.45,0.18,0.0,0.2,4.99,4.99,10744966442.95,0.25,1.46,52.3,0.02,1.25,2.27,0.06,94.82,1,0.05,5.18,29.0,31.78,48.17,43.74,43.74,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.58,13.41,64,100
792,gaussian,192,64,Fan2,795180722.89,7.51,9459,1185701137.88,7.51,7968,6.13,4776.59,2.1,7.39,0.16,0.08,0.17,4.15,4.15,61164658634.54,6.13,7.51,91.3,1.73,48.98,1.35,0.05,94.93,1,0.05,5.07,14.27,15.76,27.14,26.59,26.59,194.12,62120,198.18,63417,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.58,7.16,32,50
793,gaussian,192,65,Fan1,722972972.97,1.46,5133,1083614864.86,1.46,4736,0.3,24.65,0.02,32.05,0.18,0.0,0.2,4.96,4.96,10804054054.05,0.25,1.46,52.31,0.02,1.25,2.66,0.07,94.26,1,0.06,5.74,28.9,31.67,50.93,46.24,46.24,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.38,13.09,64,100
794,gaussian,192,66,Fan2,791164658.63,7.61,9409,1180220883.53,7.61,7968,5.37,4992.73,2.11,7.04,0.16,0.08,0.16,3.97,3.97,61622489959.84,5.37,7.61,92.4,1.74,48.8,1.37,0.05,94.87,1,0.05,5.13,14.18,15.66,27.3,26.75,26.75,194.12,62120,198.17,63414,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.59,7.17,32,50
795,gaussian,192,67,Fan1,732638888.89,1.47,5056,1096896701.39,1.47,4608,0.31,23.99,0.02,32.78,0.18,0.0,0.2,5.09,5.09,11062500000.0,0.25,1.47,52.33,0.02,1.26,2.34,0.06,94.46,1,0.06,5.54,28.8,31.56,46.61,42.32,42.32,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.5,13.29,64,100
796,gaussian,192,68,Fan2,781000000.0,7.4,9341,1166895833.33,7.4,8000,5.58,4782.32,2.09,7.34,0.16,0.08,0.16,4.08,4.08,59160000000.0,5.58,7.4,92.23,1.72,48.26,1.41,0.05,94.86,1,0.05,5.14,14.31,15.8,28.07,27.49,27.49,191.07,61143,195.12,62439,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.34,6.78,32,50
797,gaussian,192,69,Fan1,738556338.03,1.48,5033,1107064260.56,1.48,4544,0.31,26.14,0.02,29.94,0.17,0.0,0.19,4.67,4.67,11204225352.11,0.25,1.48,52.34,0.02,1.27,2.37,0.07,94.36,1,0.06,5.64,28.7,31.45,46.33,42.06,42.06,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.81,13.77,64,100
798,gaussian,192,70,Fan2,777777777.78,7.59,9374,1161520337.3,7.59,8064,5.29,4775.35,2.07,6.98,0.16,0.08,0.16,4.06,4.06,60428571428.57,5.29,7.59,89.37,1.7,45.7,1.25,0.05,95.1,1,0.05,4.9,14.36,15.87,26.25,25.59,25.59,189.0,60480,193.88,62041,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.45,6.95,32,50
799,gaussian,192,71,Fan1,729166666.67,1.48,5053,1096426504.63,1.48,4608,0.3,24.9,0.02,31.28,0.18,0.0,0.2,4.91,4.91,11062500000.0,0.25,1.48,52.35,0.02,1.28,2.29,0.07,94.33,1,0.06,5.67,28.6,31.34,44.4,40.31,40.31,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.35,13.04,64,100
800,gaussian,192,72,Fan2,800403225.81,7.48,9481,1193128360.22,7.48,7936,5.97,4740.76,2.04,7.17,0.16,0.08,0.16,4.07,4.07,61282258064.52,5.97,7.48,91.89,1.68,47.73,1.34,0.05,95.06,1,0.05,4.94,14.27,15.76,27.74,27.16,27.16,189.0,60480,193.06,61778,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.41,6.88,32,50
801,gaussian,192,73,Fan1,716783216.78,1.5,4935,1078125000.0,1.5,4576,0.31,23.94,0.02,32.38,0.19,0.0,0.2,5.1,5.1,11034965034.97,0.26,1.5,52.37,0.02,1.29,2.26,0.06,94.44,1,0.06,5.56,28.5,31.23,44.76,40.64,40.64,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.73,13.64,64,100
802,gaussian,192,74,Fan2,782868525.9,7.26,9401,1169343459.5,7.26,8032,5.67,4844.7,2.06,6.98,0.16,0.08,0.16,3.99,3.99,58215139442.23,5.67,7.26,91.9,1.69,48.15,1.41,0.05,94.8,1,0.05,5.2,14.17,15.66,27.63,27.04,27.04,189.0,60480,193.08,61786,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.62,7.22,32,50
803,gaussian,192,75,Fan1,751748251.75,1.38,5132,1121139277.39,1.38,4576,0.3,23.66,0.02,32.59,0.19,0.0,0.21,5.16,5.16,10636363636.36,0.24,1.38,52.38,0.02,1.29,2.36,0.07,94.22,1,0.06,5.78,28.39,31.12,45.03,40.88,40.88,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.57,13.38,64,100
804,gaussian,192,76,Fan2,800101214.57,7.27,9438,1193172233.47,7.27,7904,6.13,4692.57,2.02,7.18,0.16,0.08,0.16,4.05,4.05,59570850202.43,6.13,7.27,92.23,1.66,48.21,1.39,0.05,94.66,1,0.05,5.34,14.3,15.8,26.51,25.93,25.93,186.0,59520,190.15,60848,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.32,6.76,32,50
805,gaussian,192,77,Fan1,679635761.59,1.48,4934,1020695364.24,1.48,4832,0.31,23.64,0.02,32.47,0.19,0.0,0.21,5.17,5.17,10324503311.26,0.25,1.48,52.4,0.02,1.3,2.37,0.07,94.28,1,0.06,5.72,28.29,31.01,45.68,41.48,41.48,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.73,13.65,64,100
806,gaussian,192,78,Fan2,771653543.31,7.14,9378,1152600065.62,7.14,8128,4.7,4844.55,2.01,6.62,0.15,0.08,0.16,3.88,3.88,56393700787.4,4.7,7.14,90.39,1.65,45.33,1.32,0.05,94.89,1,0.05,5.11,14.36,15.87,26.34,25.77,25.77,183.98,58874,188.03,60169,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.7,7.34,32,50
807,gaussian,192,79,Fan1,744755244.76,1.42,5132,1121357808.86,1.42,4576,0.3,22.9,0.02,33.35,0.19,0.0,0.21,5.34,5.34,10832167832.17,0.24,1.42,52.41,0.02,1.31,2.36,0.06,94.4,1,0.06,5.6,28.19,30.9,46.38,42.11,42.11,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.86,13.85,64,100
808,gaussian,192,80,Fan2,787148594.38,7.23,9368,1174824297.19,7.23,7968,5.69,4892.98,2.01,6.65,0.15,0.08,0.15,3.84,3.84,58273092369.48,5.69,7.23,90.36,1.65,47.38,1.44,0.05,94.77,1,0.05,5.23,14.26,15.76,28.08,27.47,27.47,183.98,58874,188.06,60178,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.46,6.96,32,50
809,gaussian,192,81,Fan1,751748251.75,1.36,5111,1116768648.02,1.36,4576,0.3,24.54,0.02,30.97,0.18,0.0,0.2,4.98,4.98,10482517482.52,0.24,1.36,52.42,0.02,1.32,2.26,0.06,94.68,1,0.05,5.32,28.09,30.79,46.82,42.51,42.51,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.65,13.52,64,100
810,gaussian,192,82,Fan2,802845528.46,7.05,9397,1192771849.59,7.05,7872,5.38,4823.6,2.0,6.73,0.15,0.08,0.16,3.9,3.9,57918699186.99,5.38,7.05,93.17,1.65,46.92,1.25,0.05,95.15,1,0.05,4.85,14.16,15.65,26.42,25.85,25.85,183.98,58874,188.02,60167,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.41,6.89,32,50
811,gaussian,192,83,Fan1,714285714.29,1.42,5033,1069692460.32,1.42,4704,0.3,24.39,0.02,31.01,0.18,0.0,0.2,5.01,5.01,10374149659.86,0.25,1.42,52.44,0.02,1.33,2.53,0.07,94.33,1,0.06,5.67,27.99,30.68,49.11,44.59,44.59,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.5,13.28,64,100
812,gaussian,192,84,Fan2,810714285.71,6.98,9505,1211330782.31,6.98,7840,5.34,4603.36,1.95,6.99,0.16,0.08,0.16,4.02,4.02,57951020408.16,5.34,6.98,95.37,1.6,46.44,1.27,0.05,94.89,1,0.05,5.11,14.29,15.8,25.34,24.78,24.78,181.03,57931,185.09,59228,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.04,6.31,32,50
813,gaussian,192,85,Fan1,721830985.92,1.43,4929,1084323650.23,1.43,4544,0.3,24.62,0.02,30.56,0.18,0.0,0.2,4.96,4.96,10556338028.17,0.25,1.43,52.45,0.02,1.34,2.26,0.06,94.57,1,0.05,5.43,27.89,30.57,45.95,41.72,41.72,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.65,13.51,64,100
814,gaussian,192,86,Fan2,787802419.35,7.13,9321,1173870127.69,7.13,7936,5.17,4670.04,1.97,6.58,0.15,0.08,0.16,3.93,3.93,57548387096.77,5.17,7.13,87.29,1.61,44.21,1.22,0.05,94.86,1,0.05,5.14,14.35,15.87,24.38,23.8,23.8,179.07,57302,183.44,58701,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.09,6.39,32,50
815,gaussian,192,87,Fan1,718750000.0,1.41,4958,1075412326.39,1.41,4608,0.3,23.68,0.02,31.63,0.19,0.0,0.21,5.16,5.16,10395833333.33,0.25,1.41,52.47,0.02,1.35,2.26,0.06,94.64,1,0.05,5.36,27.79,30.46,46.5,42.22,42.22,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.65,13.51,64,100
816,gaussian,192,88,Fan2,793346774.19,6.76,9414,1185546875.0,6.76,7936,4.78,4614.32,1.95,6.76,0.16,0.08,0.16,3.97,3.97,54879032258.06,4.72,6.76,91.44,1.6,47.15,1.25,0.05,94.81,1,0.05,5.19,14.25,15.76,24.74,24.19,24.19,179.07,57302,183.13,58601,16,2304,16,0,0,0,36864,0.9,32,128,32,64,3.93,6.14,32,50
817,gaussian,192,89,Fan1,748251748.25,1.36,5118,1118116258.74,1.36,4576,0.29,25.14,0.02,29.64,0.18,0.0,0.19,4.86,4.86,10398601398.6,0.24,1.36,48.84,0.02,1.36,2.28,0.06,94.49,1,0.06,5.51,27.68,30.35,45.51,41.32,41.32,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.43,13.17,64,100
818,gaussian,192,90,Fan2,789156626.51,6.99,9392,1178191934.4,6.99,7968,4.78,4579.18,1.95,6.8,0.16,0.08,0.16,4.0,4.0,56481927710.84,4.78,6.99,92.16,1.6,46.77,1.25,0.05,94.68,1,0.05,5.32,14.15,15.65,24.07,23.53,23.53,179.07,57302,183.18,58617,16,2304,16,0,0,0,36864,0.9,32,128,32,64,3.96,6.19,32,50
819,gaussian,192,91,Fan1,744755244.76,1.36,5090,1111924533.8,1.36,4576,0.29,24.54,0.02,30.21,0.18,0.0,0.2,4.98,4.98,10356643356.64,0.24,1.36,52.5,0.02,1.37,2.13,0.06,94.78,1,0.05,5.22,27.58,30.24,44.84,40.71,40.71,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.47,13.23,64,100
820,gaussian,192,92,Fan2,798868312.76,7.03,9295,1193908607.68,7.03,7776,4.88,4544.51,1.94,6.79,0.16,0.08,0.16,3.97,3.97,57506172839.51,4.88,7.03,91.33,1.59,46.62,1.27,0.05,94.74,1,0.05,5.26,14.28,15.8,24.78,24.22,24.22,176.18,56376,180.23,57673,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.4,6.87,32,50
821,gaussian,192,93,Fan1,730769230.77,1.38,5024,1097173659.67,1.38,4576,0.3,24.6,0.02,29.98,0.18,0.0,0.2,4.97,4.97,10342657342.66,0.24,1.38,52.52,0.02,1.37,1.99,0.06,95.22,1,0.05,4.78,27.48,30.13,45.92,41.7,41.7,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.61,13.45,64,100
822,gaussian,192,94,Fan2,798353909.47,6.89,9255,1189600480.11,6.89,7776,4.97,4528.48,1.93,6.5,0.15,0.08,0.16,3.94,3.94,56337448559.67,4.97,6.89,92.27,1.58,43.42,1.24,0.05,94.74,1,0.05,5.26,14.34,15.87,24.13,23.59,23.59,174.26,55764,178.31,57058,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.03,6.3,32,50
823,gaussian,192,95,Fan1,748251748.25,1.34,5113,1117132867.13,1.34,4576,0.29,22.79,0.02,32.2,0.19,0.0,0.21,5.36,5.36,10272727272.73,0.24,1.34,52.53,0.02,1.38,2.19,0.06,94.55,1,0.05,5.45,27.38,30.02,44.25,40.17,40.17,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.92,13.94,64,100
824,gaussian,192,96,Fan2,791836734.69,6.74,9264,1180846088.44,6.74,7840,4.86,4470.3,1.94,6.71,0.16,0.08,0.16,4.01,4.01,54636734693.88,4.86,6.74,92.4,1.57,46.66,1.3,0.06,94.56,1,0.05,5.44,14.24,15.76,24.51,23.81,23.81,174.26,55764,179.37,57397,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.67,7.29,32,50
825,gaussian,192,97,Fan1,722222222.22,1.35,4986,1081633391.2,1.35,4608,0.3,26.7,0.02,27.34,0.17,0.0,0.18,4.58,4.58,9993055555.56,0.24,1.35,52.55,0.02,1.39,2.23,0.06,94.43,1,0.06,5.57,27.28,29.91,44.1,40.04,40.04,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,7.93,12.39,64,100
826,gaussian,192,98,Fan2,792682926.83,6.71,9309,1181741192.41,6.71,7872,4.74,4652.49,1.93,6.4,0.15,0.07,0.15,3.85,3.85,54495934959.35,4.74,6.71,91.7,1.57,47.25,1.36,0.06,94.5,1,0.05,5.5,14.14,15.65,25.48,24.78,24.78,174.26,55764,179.14,57325,16,2304,16,0,0,0,36864,0.9,32,128,32,64,4.32,6.75,32,50
827,gaussian,192,99,Fan1,734265734.27,1.35,5037,1100196678.32,1.35,4576,0.29,23.26,0.02,31.22,0.19,0.0,0.21,5.25,5.25,10132867132.87,0.24,1.35,52.56,0.02,1.4,2.08,0.06,94.9,1,0.05,5.1,27.18,29.8,44.92,40.79,40.79,1.11,355,1.22,391,512,1,17,0,0,0,512,0.0,32,5,32,4,8.74,13.65,64,100
828,gaussian,208,0,Fan2,782130281.69,11.15,10595,1164869424.88,11.15,9088,9.56,6190.46,2.69,9.99,0.18,0.11,0.18,4.59,4.59,89316901408.45,9.56,11.15,92.18,2.26,45.36,1.63,0.05,94.85,1,0.05,5.15,14.35,15.79,32.13,31.68,31.68,280.31,89700,284.36,90996,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.63,8.8,32,50
829,gaussian,208,1,Fan1,720689655.17,1.96,5014,1080459770.11,1.96,4640,0.36,28.84,0.03,33.64,0.19,0.0,0.2,5.08,5.08,14448275862.07,0.29,1.96,51.81,0.02,1.44,2.43,0.07,93.93,1,0.06,6.07,27.69,30.29,43.43,40.1,40.1,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.92,15.49,64,100
830,gaussian,208,2,Fan2,786219081.27,10.96,10597,1168764723.2,10.96,9056,8.42,6439.76,2.69,9.62,0.17,0.11,0.18,4.42,4.42,88261484098.94,8.42,10.96,93.91,2.26,45.6,1.5,0.05,94.81,1,0.05,5.19,14.27,15.7,29.27,28.86,28.86,280.31,89700,284.33,90985,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.25,8.2,32,50
831,gaussian,208,3,Fan1,719178082.19,1.94,5030,1076234303.65,1.94,4672,0.36,24.84,0.03,38.9,0.22,0.0,0.24,5.9,5.9,14308219178.08,0.28,1.94,51.82,0.02,1.45,2.48,0.07,93.96,1,0.06,6.04,27.6,30.2,44.53,41.11,41.11,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.47,14.79,64,100
832,gaussian,208,4,Fan2,800000000.0,10.79,10688,1191592261.9,10.79,8960,10.13,6410.34,2.63,9.55,0.17,0.1,0.18,4.38,4.38,88407142857.14,10.13,10.79,93.24,2.21,46.21,1.52,0.05,94.93,1,0.05,5.07,14.38,15.82,30.5,30.06,30.06,276.55,88495,280.6,89793,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.2,8.13,32,50
833,gaussian,208,5,Fan1,702702702.7,1.95,5007,1056834177.93,1.95,4736,0.36,24.32,0.03,39.57,0.22,0.0,0.24,6.03,6.03,14020270270.27,0.28,1.95,51.83,0.02,1.45,2.46,0.07,93.89,1,0.06,6.11,27.52,30.11,43.61,40.27,40.27,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.47,14.79,64,100
834,gaussian,208,6,Fan2,784697508.9,10.93,10542,1171040925.27,10.93,8992,9.65,6174.84,2.64,8.24,0.18,0.1,0.18,4.5,4.5,87793594306.05,9.65,10.93,89.8,2.22,41.68,1.49,0.05,95.04,1,0.05,4.96,14.43,15.88,30.6,30.16,30.16,273.84,87628,277.88,88921,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.17,8.08,32,50
835,gaussian,208,7,Fan1,706125827.81,1.87,5116,1058602373.07,1.87,4832,0.35,25.3,0.03,37.9,0.21,0.0,0.23,5.79,5.79,13543046357.62,0.28,1.87,51.83,0.02,1.46,2.44,0.07,93.93,1,0.06,6.07,27.44,30.02,43.46,40.12,40.12,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.56,14.93,64,100
836,gaussian,208,8,Fan2,790035587.19,10.8,10592,1176286328.59,10.8,8992,10.35,6207.05,2.63,9.61,0.18,0.1,0.18,4.48,4.48,87338078291.81,10.35,10.8,92.74,2.21,44.89,1.54,0.05,94.86,1,0.05,5.14,14.35,15.79,30.47,30.02,30.02,273.84,87628,277.91,88930,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.29,8.26,32,50
837,gaussian,208,9,Fan1,739726027.4,1.85,5198,1112193207.76,1.85,4672,0.34,25.85,0.03,36.94,0.21,0.0,0.23,5.67,5.67,14020547945.21,0.27,1.85,52.53,0.02,1.47,2.53,0.08,93.69,1,0.06,6.31,27.35,29.93,43.45,40.12,40.12,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.46,14.79,64,100
838,gaussian,208,10,Fan2,794642857.14,10.72,10617,1184114583.33,10.72,8960,9.97,6081.21,2.62,9.74,0.18,0.1,0.18,4.57,4.57,87264285714.29,9.97,10.72,91.93,2.2,45.95,1.57,0.05,94.92,1,0.05,5.08,14.26,15.7,31.31,30.86,30.86,273.84,87628,277.88,88921,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.74,8.96,32,50
839,gaussian,208,11,Fan1,736888111.89,1.9,5052,1103875291.38,1.9,4576,0.35,26.14,0.03,36.39,0.21,0.0,0.22,5.61,5.61,14300699300.7,0.28,1.9,51.85,0.02,1.47,2.49,0.08,93.7,1,0.06,6.3,27.27,29.84,42.86,39.57,39.57,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,10.04,15.69,64,100
840,gaussian,208,12,Fan2,795698924.73,10.76,10598,1185614546.0,10.76,8928,10.3,6231.86,2.59,9.5,0.17,0.1,0.18,4.4,4.4,87691756272.4,10.3,10.76,92.79,2.17,45.54,1.44,0.05,94.91,1,0.05,5.09,14.37,15.82,28.69,28.27,28.27,270.12,86440,274.18,87739,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.23,8.17,32,50
841,gaussian,208,13,Fan1,741258741.26,1.85,5069,1107626748.25,1.85,4576,0.35,26.69,0.03,35.5,0.2,0.0,0.22,5.49,5.49,14006993006.99,0.28,1.85,51.86,0.02,1.48,2.56,0.08,93.66,1,0.06,6.34,27.19,29.75,43.72,40.37,40.37,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.42,14.71,64,100
842,gaussian,208,14,Fan2,801785714.29,10.57,10723,1195293898.81,10.57,8960,9.08,6145.38,2.54,7.88,0.17,0.1,0.18,4.42,4.42,86821428571.43,9.08,10.57,89.74,2.13,43.15,1.5,0.05,94.95,1,0.05,5.05,14.43,15.88,30.23,29.78,29.78,267.47,85590,271.55,86897,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.61,8.77,32,50
843,gaussian,208,15,Fan1,727586206.9,1.87,5047,1087643678.16,1.87,4640,0.35,24.91,0.03,37.88,0.22,0.0,0.24,5.88,5.88,13965517241.38,0.28,1.87,51.87,0.02,1.49,2.33,0.08,93.77,1,0.06,6.23,27.1,29.66,40.48,37.37,37.37,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.56,14.94,64,100
844,gaussian,208,16,Fan2,793906810.04,10.55,10549,1180070191.16,10.55,8928,9.5,6179.05,2.58,9.31,0.17,0.1,0.18,4.39,4.39,85770609319.0,9.5,10.55,92.27,2.16,45.7,1.52,0.05,94.88,1,0.05,5.12,14.34,15.79,30.23,29.78,29.78,267.47,85590,271.52,86888,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.23,8.17,32,50
845,gaussian,208,17,Fan1,708904109.59,1.96,4930,1055044235.16,1.96,4672,0.36,24.14,0.03,38.94,0.22,0.0,0.24,6.07,6.07,14212328767.12,0.29,1.96,51.88,0.02,1.5,2.45,0.07,93.92,1,0.06,6.08,27.02,29.57,43.65,40.3,40.3,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.63,15.05,64,100
846,gaussian,208,18,Fan2,801444043.32,10.72,10604,1194945848.38,10.72,8864,9.54,5987.15,2.56,9.68,0.18,0.1,0.18,4.53,4.53,87992779783.39,9.54,10.72,92.74,2.15,45.64,1.48,0.05,94.96,1,0.05,5.04,14.25,15.7,29.75,29.31,29.31,267.47,85590,271.48,86875,16,2704,16,0,0,0,43264,1.06,32,128,32,64,5.31,8.3,32,50
847,gaussian,208,19,Fan1,708904109.59,1.89,4943,1057184646.12,1.89,4672,0.35,25.04,0.03,37.39,0.22,0.0,0.23,5.85,5.85,13732876712.33,0.28,1.89,51.89,0.02,1.5,2.46,0.08,93.66,1,0.06,6.34,26.94,29.48,42.1,38.87,38.87,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.54,14.9,64,100
848,gaussian,208,20,Fan2,806859205.78,10.48,10662,1201620788.21,10.48,8864,10.37,6297.36,2.51,9.07,0.17,0.1,0.17,4.25,4.25,86577617328.52,10.37,10.48,93.19,2.11,44.67,1.39,0.05,95.38,1,0.05,4.62,14.36,15.82,30.51,30.05,30.05,263.81,84419,267.86,85715,16,2704,16,0,0,0,43264,1.06,32,128,32,64,4.95,7.73,32,50
849,gaussian,208,21,Fan1,706925675.68,1.87,4990,1053490990.99,1.87,4736,0.35,24.84,0.03,37.54,0.22,0.0,0.24,5.9,5.9,13506756756.76,0.28,1.87,51.9,0.02,1.51,2.51,0.08,93.68,1,0.06,6.32,26.85,29.39,43.08,39.77,39.77,1.35,433,1.47,469,512,1,17,0,0,0,512,0.0,32,5,32,4,9.6,15.0,64,100
